text@den1984m	@den1984m	278.325	279.591	люди все одинаковые да
text@den1984m	@den1984m	287.964	288.433	щас
text@den1984m	@den1984m	340.1	343.164	да спасибо за сказанное я продолжу // что
text@den1984m	@den1984m	345.439	348.348	мы выбираем в этой жизни всегда одно из двух зол
text@den1984m	@den1984m	349.561	371.035	если // человек // пил // он рушит всю свою жизнь // если человек / уходит с алкоголя и начинает играть в игры чтобы как-то / это облегчить то это во-первых человеческая судьба которая будет // ну в более надёжных руках / и // его // деятельность на этой планете / будет полезна
text@den1984m	@den1984m	372.933	375.793	ну потому что он не будет себя разрушать у него будет трезвый рассудок
text@den1984m	@den1984m	393.059	398.906	оно никак тут зависит / тут вс... вся суть в том что этот человек должен / развивать себя как личность
text@den1984m	@den1984m	399.438	403.721	ему в этой жизни должны быть ещё интересны / разные стороны своей жизни
text@den1984m	@den1984m	404.291	410.197	если человек играет в видеоигры // напропалую целыми днями это говорит о том что у человека нет интересов никаких
text@den1984m	@den1984m	410.533	424.4	если б не было видеоигр у него б вообще никаких интересов не было / тут весь вопрос как человек может организовать свою собственную жизнь / можно играть в видеоигры но при этом быть депутатом / или человеком кто / очень весомые в жизни решения делает это не ломает эти жизни
text@den1984m	@den1984m	425.01	439.295	когда человек занимается спортом когда человек играет в игры когда у человека есть нормальная семья / весь вопрос / ээ вреда видеоигр в том что первое / это // хреновая история семьи / и второе отсутствие // психологического настроя себя в этой жизни
text@den1984m	@den1984m	441.562	446.281	если в семье всё плохо человек с головой уйдёт в видеоигры / это вопрос того как этого человека воспитать
text@den1984m	@den1984m	446.891	465.647	либо это вопрос того человека который сам свою жизнь должен / организовать / а не убежать / это всё психология / если человек / внутри над собой работает / ему интересен этот мир // ему интересны видеоигры / он может играть в видеоигры / но при этом у него есть куча других ээ / вещей в жизни к которым он тянется которые он хочет познать
text@den1984m	@den1984m	475.978	476.588	обязательно
text@den1984m	@den1984m	533.778	534.822	внимание его там
text@den1984m	@den1984m	573.538	574.384	вся вещь в том что
text@den1984m	@den1984m	575.637	576.94	вся вещь в том что
text@den1984m	@den1984m	578.7	582.655	в наше / время в нашем мире / ворует внимание всё
text@den1984m	@den1984m	584.0	596.356	сериалы начнёшь смотреть // #смеется# и всё тебе // на два года из жизни просто пропала / хочешь разбираться в книгах ? / быть начитанной поболтать с подружками годы уйдут чтобы разобраться
text@den1984m	@den1984m	596.787	598.778	на всё уходит время / в играх так же
text@den1984m	@den1984m	607.551	610.949	смотря что это даёт если эта информация скорее пригодилась в жизни
text@den1984m	@den1984m	611.867	613.775	всё развивают / всё развивают
text@h1987f	@h1987f	256.446	263.459	а / любая зависимость / алкогольная наркотическая социаль... любая зависимость да? / это что такое / ну / у неё один механический принцип
text@h1987f	@h1987f	263.831	273.87	и у неё один нейрофизиологический принцип как это срабатывает вот смотри / у нас есть коробочка я это называю коробочкой / да там серая такая штучка / там есть нейрончики / аксончики / там есть какие-то та...
text@h1987f	@h1987f	274.27	279.582	у тебя мозг и у меня мозг / одинаковые если его распилить / принцип / вот / понимаешь ? / #одновременно# / да
